Parametry
Precyzja: 10^-3
Iteracje: 103
;real;bin;f(real)
49;10.998;[1 1 1 0 1 1 1 1 1 1 1 1 0 1];1.988127535756952
50;10.998;[1 1 1 0 1 1 1 1 1 1 1 1 0 1];1.988127535756952
51;10.998;[1 1 1 0 1 1 1 1 1 1 1 1 0 1];1.988127535756952
52;10.998;[1 1 1 0 1 1 1 1 1 1 1 1 0 1];1.988127535756952
53;10.998;[1 1 1 0 1 1 1 1 1 1 1 1 0 1];1.988127535756952
54;10.998;[1 1 1 0 1 1 1 1 1 1 1 1 0 1];1.988127535756952
55;10.998;[1 1 1 0 1 1 1 1 1 1 1 1 0 1];1.988127535756952
56;10.998;[1 1 1 0 1 1 1 1 1 1 1 1 0 1];1.988127535756952
57;10.998;[1 1 1 0 1 1 1 1 1 1 1 1 0 1];1.988127535756952
58;10.998;[1 1 1 0 1 1 1 1 1 1 1 1 0 1];1.988127535756952
59;10.998;[1 1 1 0 1 1 1 1 1 1 1 1 0 1];1.988127535756952
60;10.998;[1 1 1 0 1 1 1 1 1 1 1 1 0 1];1.988127535756952
61;10.998;[1 1 1 0 1 1 1 1 1 1 1 1 0 1];1.988127535756952
62;10.998;[1 1 1 0 1 1 1 1 1 1 1 1 0 1];1.988127535756952
63;10.998;[1 1 1 0 1 1 1 1 1 1 1 1 0 1];1.988127535756952
64;10.998;[1 1 1 0 1 1 1 1 1 1 1 1 0 1];1.988127535756952
65;10.998;[1 1 1 0 1 1 1 1 1 1 1 1 0 1];1.988127535756952
66;10.998;[1 1 1 0 1 1 1 1 1 1 1 1 0 1];1.988127535756952
67;10.998;[1 1 1 0 1 1 1 1 1 1 1 1 0 1];1.988127535756952
68;10.998;[1 1 1 0 1 1 1 1 1 1 1 1 0 1];1.988127535756952
69;10.998;[1 1 1 0 1 1 1 1 1 1 1 1 0 1];1.988127535756952
70;10.998;[1 1 1 0 1 1 1 1 1 1 1 1 0 1];1.988127535756952
71;10.998;[1 1 1 0 1 1 1 1 1 1 1 1 0 1];1.988127535756952
72;10.998;[1 1 1 0 1 1 1 1 1 1 1 1 0 1];1.988127535756952
